binary_accuracy,f1_score_per_class,f1_score_weighted,loss
0.9927753210067749,"tf.Tensor(
[0.7272727  0.7543252  0.8533333  0.93643403 0.74137926 0.8996539
 0.7317072  0.9615384  0.76470584 0.81481475 0.86567163 0.59999996
 0.9        0.8794787  0.95505613 0.8888889  0.92307687 0.9514925
 0.91649896 0.92499995 0.9564193  0.93502367 0.7894736  0.5333333
 0.8076922 ], shape=(25,), dtype=float32)",0.9073039293289185,0.020705191418528557
0.9930340647697449,"tf.Tensor(
[0.6206896  0.7857142  0.85135126 0.92893916 0.7692307  0.92041516
 0.8571428  0.9615384  0.80701745 0.79999995 0.77419347 0.92307687
 1.         0.9131832  0.94915247 0.33333328 0.87999994 0.9742646
 0.91370547 0.9135801  0.96296287 0.9305993  0.8068669  0.4285714
 0.79999995], shape=(25,), dtype=float32)",0.9107813835144043,0.019702188670635223
0.9935606122016907,"tf.Tensor(
[0.7272727  0.79084957 0.87191004 0.93656516 0.775862   0.8904593
 0.7368421  0.98113203 0.82142854 0.8888889  0.84848475 0.8333333
 1.         0.92307687 0.94915247 0.57142854 0.87999994 0.9576427
 0.93649185 0.9382715  0.96876836 0.9162717  0.7598252  0.4285714
 0.83018863], shape=(25,), dtype=float32)",0.9174078106880188,0.018813522532582283
0.993258535861969,"tf.Tensor(
[0.7272727  0.76470584 0.88789237 0.9437854  0.8032786  0.92150164
 0.8571428  0.9615384  0.8255813  0.8888889  0.78688514 0.72727275
 0.9523809  0.8967741  0.9666666  1.         0.8333333  0.9576427
 0.9188916  0.86842096 0.9637002  0.9053627  0.7672413  0.7058823
 0.81904763], shape=(25,), dtype=float32)",0.9144542217254639,0.01901910826563835
0.9934747219085693,"tf.Tensor(
[0.7096774  0.74172175 0.8695652  0.9388174  0.81967205 0.92733556
 0.87804866 0.9411765  0.8248587  0.8461538  0.8307691  0.8333333
 0.8421052  0.9067524  0.93258417 0.8888889  0.8333333  0.97058815
 0.9288576  0.89473677 0.9664902  0.9198717  0.79828316 0.5333333
 0.8623853 ], shape=(25,), dtype=float32)",0.9171798229217529,0.01854691654443741
0.9935864806175232,"tf.Tensor(
[0.8235293  0.78064513 0.8603604  0.93278176 0.775862   0.9183673
 0.7368421  0.9615384  0.83908033 0.9285714  0.8615384  0.8333333
 1.         0.92499995 0.9837837  0.8888889  0.92307687 0.970696
 0.9319999  0.93975896 0.9632701  0.91111106 0.80172414 0.6666666
 0.84684676], shape=(25,), dtype=float32)",0.919020414352417,0.018068043515086174
0.9939142465591431,"tf.Tensor(
[0.76470584 0.7722772  0.89822996 0.93429154 0.79999995 0.8927335
 0.93023247 0.9615384  0.8023255  0.8461538  0.9117646  0.92307687
 1.         0.9367088  0.9555555  1.         0.87999994 0.97435886
 0.9364278  0.91139233 0.9664902  0.926677   0.8068669  0.7058823
 0.84403664], shape=(25,), dtype=float32)",0.9231598377227783,0.017609186470508575
0.9938716888427734,"tf.Tensor(
[0.7272727  0.79344255 0.8908685  0.9484004  0.8593749  0.92617446
 0.9047618  0.9230768  0.8135593  0.8571428  0.8823528  0.8333333
 1.         0.9190937  0.94915247 1.         0.96296287 0.9574861
 0.9288576  0.9382715  0.9600938  0.9001584  0.8296943  0.62499994
 0.87850463], shape=(25,), dtype=float32)",0.9228353500366211,0.017669033259153366
0.9946132898330688,"tf.Tensor(
[0.7878787  0.8195718  0.89224136 0.9487312  0.84552836 0.9391891
 0.8837209  0.98113203 0.8571428  0.8571428  0.86567163 0.92307687
 1.         0.92546576 0.9670329  1.         0.92307687 0.97058815
 0.9384459  0.91139233 0.9723692  0.9289099  0.83681995 0.5333333
 0.88888884], shape=(25,), dtype=float32)",0.9326711893081665,0.0166254211217165
0.9946823120117188,"tf.Tensor(
[0.83333325 0.8246753  0.8708971  0.94987077 0.79999995 0.9470198
 0.9047618  0.9615384  0.8636363  0.8888889  0.8823528  1.
 1.         0.94339615 0.9837837  0.8888889  0.96296287 0.9671532
 0.94242424 0.93975896 0.9699823  0.92331755 0.8173912  0.5333333
 0.9122807 ], shape=(25,), dtype=float32)",0.9330790042877197,0.01584705524146557
0.9947257041931152,"tf.Tensor(
[0.8571428  0.7857142  0.8855291  0.95028186 0.8593749  0.92361104
 0.93023247 0.9615384  0.8603351  0.9333333  0.9142857  1.
 1.         0.9278996  0.94972056 1.         0.87999994 0.97237563
 0.94337714 0.9367088  0.97072595 0.93749994 0.8290598  0.7058823
 0.9107142 ], shape=(25,), dtype=float32)",0.9340219497680664,0.015584777109324932
0.9948289394378662,"tf.Tensor(
[0.8571428  0.8152865  0.89670324 0.9481864  0.8661417  0.9315068
 0.9047618  0.9615384  0.8813559  0.96551716 0.8823528  0.8333333
 1.         0.9265175  0.97826076 1.         0.92307687 0.9742646
 0.94194186 0.886076   0.968347   0.9339622  0.8438818  0.7058823
 0.9298245 ], shape=(25,), dtype=float32)",0.9354422092437744,0.015641754493117332
0.9948636293411255,"tf.Tensor(
[0.8235293  0.79999995 0.8758169  0.9480789  0.8292682  0.9355931
 0.9047618  0.98113203 0.84210527 0.9285714  0.8985507  0.92307687
 1.         0.9274447  0.9666666  1.         0.92307687 0.9725776
 0.95027614 0.9382715  0.97767323 0.9249999  0.84677416 0.77777773
 0.9122807 ], shape=(25,), dtype=float32)",0.9357686638832092,0.015393951907753944
0.9954246878623962,"tf.Tensor(
[0.91891885 0.81760997 0.89867836 0.9494845  0.8412698  0.9530201
 0.9545454  0.98113203 0.93121684 0.8888889  0.95774645 1.
 0.9523809  0.94339615 0.96739125 1.         0.92307687 0.9686924
 0.95285857 0.9382715  0.97764695 0.9385826  0.8595041  0.79999995
 0.90265477], shape=(25,), dtype=float32)",0.9433241486549377,0.014467641711235046
0.9947944283485413,"tf.Tensor(
[0.8235293  0.84639496 0.8836206  0.9437273  0.85039365 0.93959725
 0.9545454  1.         0.91208786 0.8571428  0.8985507  0.8333333
 0.9523809  0.92063487 0.98360646 1.         0.7826087  0.97058815
 0.9477911  0.9382715  0.9724663  0.93001544 0.8068669  0.7058823
 0.85964906], shape=(25,), dtype=float32)",0.9352330565452576,0.014840761199593544
0.9955539703369141,"tf.Tensor(
[0.89473677 0.8481012  0.9131403  0.95119417 0.84297514 0.9570957
 0.9333332  0.98113203 0.87777776 0.9285714  0.9295774  1.
 1.         0.96594423 0.98360646 1.         0.8333333  0.972477
 0.9587939  0.9499999  0.9747504  0.9335442  0.8200836  0.58823526
 0.90090084], shape=(25,), dtype=float32)",0.9443634152412415,0.013835412450134754
0.9952607750892639,"tf.Tensor(
[0.8571428  0.821656   0.89822996 0.95041317 0.8593749  0.94237286
 0.93023247 1.         0.88       0.9333333  0.9295774  0.92307687
 1.         0.92993623 0.9891304  1.         0.96296287 0.9780219
 0.942771   0.95121944 0.9730678  0.95031047 0.85836905 0.79999995
 0.92173904], shape=(25,), dtype=float32)",0.9409836530685425,0.014077545143663883
0.9955626130104065,"tf.Tensor(
[0.8888889  0.8343558  0.9200863  0.94349396 0.88709664 0.96321064
 0.9090908  0.98113203 0.9139784  0.96551716 0.8985507  1.
 1.         0.92499995 0.98360646 1.         0.92307687 0.9780219
 0.9498494  0.9620252  0.9747504  0.9581395  0.86919826 0.77777773
 0.9401709 ], shape=(25,), dtype=float32)",0.9452135562896729,0.013775434345006943
0.9957180023193359,"tf.Tensor(
[0.91891885 0.8343949  0.9154013  0.95306844 0.86821693 0.970684
 0.9333332  1.         0.88636357 0.81481475 0.94444436 1.
 1.         0.9538461  0.97802186 1.         0.87999994 0.9779411
 0.9514661  0.9156626  0.9770453  0.953271   0.86065567 0.85714275
 0.9122807 ], shape=(25,), dtype=float32)",0.9469588398933411,0.013372497633099556
